CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.02.01;Operações de Captações no Mercado;-420010.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.02.02;Operações de Empréstimos, Cessões e Repasses;-2514.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.02.03;Provisões para Operações de Crédito;0.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.02.04;Perdas com Operações de Crédito;-25761.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.03;Resultado Bruto Intermediação Financeira;977005.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04;Outras Despesas/Receitas Operacionais;-616591.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.01;Receitas de Prestação de Serviços;256331.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.02;Despesas de Pessoal;-375348.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.03;Outras Despesas Administrativas;-309572.00
00.000.208/0001-00;2010-12-31;2;BRB BCO DE BRASILIA S.A.;14206;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2010-01-01;2010-12-31;3.04.04;Despesas Tributárias;-71101.00
