CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;PENÚLTIMO;2018-12-31;1.02.01.08;Despesas Antecipadas;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;ÚLTIMO;2019-12-31;1.02.01.08;Despesas Antecipadas;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;PENÚLTIMO;2018-12-31;1.02.01.09;Créditos com Partes Relacionadas;41013.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;ÚLTIMO;2019-12-31;1.02.01.09;Créditos com Partes Relacionadas;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;PENÚLTIMO;2018-12-31;1.02.01.09.01;Créditos com Coligadas;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;ÚLTIMO;2019-12-31;1.02.01.09.01;Créditos com Coligadas;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;PENÚLTIMO;2018-12-31;1.02.01.10;Outros Ativos Não Circulantes;1392480.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;ÚLTIMO;2019-12-31;1.02.01.10;Outros Ativos Não Circulantes;1356725.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;PENÚLTIMO;2018-12-31;1.02.01.10.01;Ativos Não-Correntes a Venda;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;ÚLTIMO;2019-12-31;1.02.01.10.01;Ativos Não-Correntes a Venda;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;PENÚLTIMO;2018-12-31;1.02.01.10.02;Ativos de Operações Descontinuadas;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;ÚLTIMO;2019-12-31;1.02.01.10.02;Ativos de Operações Descontinuadas;0.00
